,auction_id,experiment,date,hour,device_make,platform_os,browser,yes,no
84,02da7207-beaa-4aed-9349-328d3df976c9,control,2020-07-05,21,Samsung GT-I9505,6,Chrome Mobile,0,0
85,02dcc8eb-8932-441f-a0ae-15d63a481b6b,control,2020-07-05,0,Generic Smartphone,6,Chrome Mobile,0,0
88,02ef2207-6a54-4776-90fc-07c111eb8fd0,control,2020-07-07,8,Generic Smartphone,6,Chrome Mobile,0,0
89,02efdb70-8596-4f3f-b0b2-b91e194f61f7,exposed,2020-07-05,6,Generic Smartphone,6,Chrome Mobile,1,0
90,02f699ee-5e3a-41c6-867d-e544adb9e30f,exposed,2020-07-08,16,Generic Smartphone,6,Chrome Mobile,0,0
92,02ffeb7f-3639-493b-978a-6e1537de18c8,control,2020-07-09,3,Generic Smartphone,6,Chrome Mobile,0,0
93,030712e7-f4e2-4f47-a38b-0e76760aacb4,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
96,0315f5f3-d286-4d23-abbc-1c7b8401991f,control,2020-07-07,22,Generic Smartphone,6,Chrome Mobile,0,0
97,0320f9a0-7e0a-4c0d-a553-66c75d71a2ea,exposed,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,0,0
98,03244a64-9192-40fc-9bd7-7edd1bd9643a,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
100,0332a7f7-0336-4d48-96ad-75da00d916c0,control,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,1,0
102,034463b0-10f3-41ac-bca7-a235ea2858bc,exposed,2020-07-10,16,Generic Smartphone,6,Chrome Mobile,0,0
104,034abdd0-ef83-4614-8aa7-740d16dcb310,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,0,0
105,0355a92e-7e12-432d-b78c-44ba016eee37,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
107,035b36c3-7810-49c7-b251-0e7c8bcc7272,control,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,0,0
108,035f97e4-0ae1-406a-b79d-2e915aa00de8,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
120,03b85713-9400-4d3e-9992-9e85bc7ccff8,exposed,2020-07-10,11,Generic Smartphone,6,Chrome Mobile,0,0
122,03bb1693-494e-4a96-b5e1-95909c9a1e32,control,2020-07-10,16,Generic Smartphone,6,Chrome Mobile,0,0
124,03cf0bc4-48eb-4b96-8160-16665c87dbae,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
125,03d00ff8-bd48-4f93-9a4c-8cbbade8a58b,exposed,2020-07-07,7,Generic Smartphone,6,Chrome Mobile,0,0
126,03d3277c-c48e-469e-bd5c-a1c77466b029,control,2020-07-05,5,Generic Smartphone,6,Chrome Mobile,0,0
129,03ee887e-96aa-4ea4-a3cd-026c76cb21f5,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
130,03f78bc7-3dbe-4fad-9243-c6a9d2f80cdc,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
131,03fbbed7-04b4-4b65-99e7-8ea17722f229,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
132,040a6083-4bc7-4381-ac92-04854ee82f56,exposed,2020-07-06,3,Generic Smartphone,6,Chrome Mobile,0,0
134,0427454d-1ce6-46e7-81a5-a2b1f8baad01,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
136,0436ac76-0f75-4930-8a29-7c3b5c9ac560,control,2020-07-04,3,Generic Smartphone,6,Chrome Mobile,0,0
137,043afd11-d9d5-429a-8f8f-c111d81282ee,exposed,2020-07-08,5,Generic Smartphone,6,Chrome Mobile,0,0
138,04438131-f361-4f90-b1cc-0073d378283d,exposed,2020-07-08,10,Generic Smartphone,6,Chrome Mobile,0,0
139,0449a50f-70d2-40db-b27f-e7c0cfa66c4f,control,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,0
142,045c0094-e385-431b-965c-3b515e7bcaeb,exposed,2020-07-05,15,Generic Smartphone,6,Chrome Mobile,0,0
143,045cbf34-f0fe-4ae5-8064-05d1aad4f593,exposed,2020-07-05,13,Generic Smartphone,6,Chrome Mobile,0,0
146,046c7f1d-7763-4e72-925b-8ff0540cc283,exposed,2020-07-07,19,Generic Smartphone,6,Chrome Mobile,0,0
150,04875052-2312-4a96-9ce4-ab1815b2c451,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
151,0488c710-feb7-4c88-b946-1e80c63a171f,exposed,2020-07-10,6,Generic Smartphone,6,Chrome Mobile,0,0
152,04a37daf-e49c-4e05-a732-fdcdbedfe99c,exposed,2020-07-07,19,Generic Smartphone,6,Chrome Mobile,0,0
153,04a41e98-7185-4aef-b884-c4c14f728d1e,exposed,2020-07-10,1,HTC One $2,6,Chrome Mobile,0,0
154,04a522d7-c8fc-4d75-b16d-8d31c65390b2,control,2020-07-05,14,Generic Smartphone,6,Chrome Mobile,0,0
156,04abe5cf-20a8-4a44-9377-955c6e706231,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile,0,0
157,04b69bd8-4849-4489-adcf-08b96a265c40,control,2020-07-07,15,Generic Smartphone,6,Chrome Mobile,1,0
161,04c0ae03-d7fc-4798-8103-467ee62fdab5,control,2020-07-05,8,Generic Smartphone,6,Chrome Mobile,0,0
163,04d14dcc-5e4b-468c-93ce-dcf431aa9aa9,control,2020-07-06,4,Generic Smartphone,6,Chrome Mobile,0,0
164,04d38143-f0f2-493d-ba55-ae65b7b44e1d,control,2020-07-09,11,LG-$2,6,Chrome Mobile,0,0
167,050af216-a2be-4e6a-93e1-fe0726793426,exposed,2020-07-09,5,Generic Smartphone,6,Chrome Mobile,0,0
169,051536fa-9b6d-4c3d-beac-c922bba8171b,control,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,0,0
170,0517c65a-7104-46b6-b74c-8699902492aa,exposed,2020-07-09,1,Lenovo A1010a20,6,Chrome Mobile,0,0
171,0518a661-6a07-47e3-82dc-f1caf4680f6a,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
174,0526af64-1055-481b-9505-85f98cd512e8,exposed,2020-07-09,11,Generic Smartphone,6,Chrome Mobile,0,0
176,0532bd50-533c-420d-95ac-f55b45af9f86,control,2020-07-10,15,Generic Smartphone,6,Chrome Mobile,0,0
179,053ccc88-e993-4e18-92ee-94f262cbfde8,control,2020-07-10,8,Generic Smartphone,6,Chrome Mobile,0,0
180,053e02e8-1bb0-49a2-9ad0-ed95f9c81078,control,2020-07-10,17,Generic Smartphone,6,Chrome Mobile,0,0
181,05448950-efae-45e7-8633-3feacff3121a,control,2020-07-07,12,Generic Smartphone,6,Chrome Mobile,0,0
182,055617a7-0a9e-4e07-b768-fd6b6f9cc8d2,exposed,2020-07-04,20,Generic Smartphone,6,Chrome Mobile,0,0
184,055a5403-31ef-4201-956e-53ef38aa8060,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
185,055b355d-d8f4-49c7-b072-de1550a39a1e,exposed,2020-07-04,22,Generic Smartphone,6,Chrome Mobile,0,0
187,055f5f5b-07ff-4401-bb8d-7b44aa5eed44,exposed,2020-07-08,5,Generic Smartphone,6,Chrome Mobile,0,0
189,05791ca6-81f8-4738-b688-070995b8207a,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
190,058393be-eef8-4f00-869b-7d0bc2dd4287,exposed,2020-07-05,2,Generic Smartphone,6,Chrome Mobile,0,0
192,0587d2d4-d47a-4872-ace2-a460eea468f3,exposed,2020-07-09,1,Generic Smartphone,6,Chrome Mobile,1,0
193,0588c59e-a249-4ae1-8f20-7bc3a822434c,exposed,2020-07-10,9,Generic Smartphone,6,Chrome Mobile,0,0
195,05a03d5d-abd2-42f9-beff-f967a5f0654a,exposed,2020-07-06,10,Generic Smartphone,6,Chrome Mobile,0,0
197,05d9bf1b-6b23-4fe5-abf0-73bf4ce06386,exposed,2020-07-03,14,Generic Smartphone,6,Chrome Mobile,0,0
198,05ded822-6ad1-4d43-80b0-92e74d798185,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,0,0
199,05f600f6-9edf-49fc-808c-9a572fb3fcb1,exposed,2020-07-03,3,Generic Smartphone,6,Chrome Mobile,0,0
201,05ff30c6-4265-4a1d-80de-537563f7470d,control,2020-07-08,18,Generic Smartphone,6,Chrome Mobile,1,0
203,06091e83-e0d9-416f-808a-ccc488378287,exposed,2020-07-09,1,Generic Smartphone,6,Chrome Mobile,0,0
204,060ddc5e-ad17-4e06-b491-1876df7a1144,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
206,061f5574-b2ad-4ed4-b533-d0c94f77ddac,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
207,06356a8f-c4b7-4c57-944f-803221393644,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
208,06356d8c-0e8c-450a-8c54-8fc69993b9b7,exposed,2020-07-10,2,Generic Smartphone,6,Chrome Mobile,0,0
209,065bde0d-7ba8-41e8-85a8-31775073c620,control,2020-07-09,10,Generic Smartphone,6,Chrome Mobile,0,0
212,0676f0f7-862e-4b30-8a51-5ed9b3d730d2,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
215,0690fc5f-02e1-49f2-9da9-a73e4902bbbb,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
219,06ac02e4-50b8-4129-a4d5-479b26941202,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
220,06ad16bb-92cd-4116-9b45-5210e68afceb,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
224,06bf0a6f-7302-487c-a8e9-599f4b6696d9,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile,0,0
226,06d7ece2-7d93-43ed-a9d3-e563fb8067e9,control,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,1,0
234,0713fd3f-a08e-4a39-b04c-ce9ea28c8a95,control,2020-07-05,4,Generic Smartphone,6,Chrome Mobile,0,0
236,072c59e5-9410-4e0f-b3e5-3ba2570a05a9,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
238,073799f0-faf0-4a87-ac52-2924c4c63367,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile,0,0
239,0749c2bb-3b01-42a3-8ca9-c877e52b7299,control,2020-07-10,8,Generic Smartphone,6,Chrome Mobile,0,0
242,0756f836-1295-481e-b481-5f9f10aab3ea,control,2020-07-07,7,Generic Smartphone,6,Chrome Mobile,0,0
244,07659c1c-f6f0-4a6b-8089-97290c26aeb9,exposed,2020-07-08,6,Generic Smartphone,6,Chrome Mobile,1,0
249,078aa8e5-e424-4d57-b5f2-744b2bd702b5,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
250,078d8053-29be-46e7-b959-d161b59a8ea0,exposed,2020-07-06,7,Generic Smartphone,6,Chrome Mobile,0,0
251,0792d9ea-8ec0-45b6-ab5b-92a6910c85a9,exposed,2020-07-10,15,Generic Smartphone,6,Chrome Mobile,0,0
255,079fd5a2-7360-4f66-80e7-45b2adb4db21,exposed,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,0,0
260,07afed09-d580-40a3-bea0-d4de642b5974,control,2020-07-08,16,Generic Smartphone,6,Chrome Mobile,0,0
261,07bca9f6-4689-4602-bff6-9e106ce508b1,exposed,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,0,0
264,07e50786-84eb-444d-8d37-9c65f2717d91,exposed,2020-07-09,4,Generic Smartphone,6,Chrome Mobile,0,0
266,080777f9-3bff-4ba5-b344-890aa51fff56,control,2020-07-05,11,Generic Smartphone,6,Chrome Mobile,0,0
267,08097cbe-a8fe-4336-a917-3da665c5654e,exposed,2020-07-10,15,Generic Smartphone,6,Chrome Mobile,1,0
268,080a65b6-adf2-45b2-b99b-7a493904a43b,exposed,2020-07-05,22,Generic Smartphone,6,Chrome Mobile,0,0
269,08125b3e-f58a-4c55-b602-bcde22f09cfa,control,2020-07-10,4,Generic Smartphone,6,Chrome Mobile,0,0
270,0812c8c2-809f-4fe9-97be-5473a9e1a937,control,2020-07-07,12,Generic Smartphone,6,Chrome Mobile,0,0
273,0819f9c5-0d05-4dd9-ab1a-2f351a6f8dbe,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
276,0830e671-f919-4ad8-8b3f-a6dd306a9d6b,exposed,2020-07-10,9,Generic Smartphone,6,Chrome Mobile,0,0
277,0836341b-e96e-406c-afdf-2cf332822c4f,exposed,2020-07-06,10,Generic Smartphone,6,Chrome Mobile,0,0
282,086f31fc-fc25-4c4b-b0ba-ea9ac9502855,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,1,0
284,0879f4d0-9ddd-4c04-86c3-4724be469cfe,exposed,2020-07-07,10,Generic Smartphone,6,Chrome Mobile,0,0
287,08866dc1-cd57-44fb-9c1e-809f5630c31f,control,2020-07-09,10,Generic Smartphone,6,Chrome Mobile,0,0
288,0888494f-9748-4e88-84b0-8c6a181d0971,exposed,2020-07-04,17,Generic Smartphone,6,Chrome Mobile,0,0
289,0890a109-1ba6-45cf-b7c6-7e64d4f5b7ac,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
290,0890b639-3e19-49db-afc2-4d6e1853e60d,exposed,2020-07-05,14,Generic Smartphone,6,Chrome Mobile,0,0
291,0893d4ad-9c20-4521-a98f-bd9165a20075,exposed,2020-07-08,21,Generic Smartphone,6,Chrome Mobile,0,0
292,089b6e4b-ab64-4200-9f64-784ddea9dffb,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,1,0
293,08a8a9e6-7480-47d3-9a8a-09f670f8606b,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
294,08bc076b-1882-4cec-b972-33c03ecf1287,control,2020-07-06,0,Generic Smartphone,6,Chrome Mobile,0,0
295,08c163fd-42f2-4bc2-9cbc-932b87ca0221,exposed,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,0,0
296,08ce0590-c9d6-4195-bc42-3bf3d7196a1b,control,2020-07-06,9,Generic Smartphone,6,Chrome Mobile,0,0
297,08ce0973-3848-4ce0-91ee-eaa2bfa29268,exposed,2020-07-08,17,Generic Smartphone,6,Chrome Mobile,0,0
301,08e29116-2e0b-4b2a-b59b-1c1e6d9f109c,exposed,2020-07-08,21,Generic Smartphone,6,Chrome Mobile,1,0
302,08ea232c-6856-469c-ad78-510748b3d0c7,control,2020-07-06,9,Generic Smartphone,6,Chrome Mobile,0,0
303,08f606f6-d9fe-4e0d-b760-20835bb260bc,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
304,08ffb607-0aed-4573-b63c-725cc10b5fc4,control,2020-07-09,13,Generic Smartphone,6,Chrome Mobile,0,0
305,090b32d5-a098-4e68-81bd-60325a6898fa,exposed,2020-07-05,21,Generic Smartphone,6,Chrome Mobile,1,0
306,091b895f-a648-4291-9f88-9451bbe4f826,exposed,2020-07-07,3,Generic Smartphone,6,Chrome Mobile,0,0
307,091cc1cc-59ff-43e7-98aa-196431a54962,control,2020-07-09,14,Generic Smartphone,6,Chrome Mobile,0,0
308,0921a6cd-c86e-42fd-a772-b4a748beded8,exposed,2020-07-04,2,Generic Smartphone,6,Chrome Mobile,0,0
309,093f9b95-2d8c-4f80-9d9d-06c0ce244102,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
311,0950d6f5-cd13-45bc-9b2a-fc55f36b057b,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
312,095944df-199d-4110-9397-fdb58b019797,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
314,097d21ab-68d3-455c-a0b2-9e41710f2c43,control,2020-07-09,10,Generic Smartphone,6,Chrome Mobile,0,0
315,0982b4b2-3a6e-4258-9cd7-756c4624fe02,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
316,09870f82-80f5-42c2-a50d-71ead549b905,exposed,2020-07-03,4,Generic Smartphone,6,Chrome Mobile,0,0
318,098e447e-c5a3-4d63-80f3-35d738ac895f,exposed,2020-07-03,5,Generic Smartphone,6,Chrome Mobile,0,0
319,09a0049f-be9f-47ec-861d-ef7545fb6e32,control,2020-07-03,15,Nokia undefined$2$3,6,Chrome Mobile,0,0
321,09b22428-1adb-4676-9b28-2ab0b2e8853d,control,2020-07-08,0,Generic Smartphone,6,Chrome Mobile,0,0
322,09b6b47e-868f-4cbf-8353-8c6babf35fd4,exposed,2020-07-05,12,Generic Smartphone,6,Chrome Mobile,0,0
325,09e18a13-ff55-4a5f-b449-f649d3a714eb,exposed,2020-07-10,2,Generic Smartphone,6,Chrome Mobile,0,0
327,09e97fd5-c45f-4c11-94e7-e8889f8c1a36,exposed,2020-07-04,6,Generic Smartphone,6,Chrome Mobile,0,0
328,09ea0cb1-a193-479e-ae96-75322300fefe,control,2020-07-09,16,Generic Smartphone,6,Chrome Mobile,0,0
330,0a00ad14-a0c4-462f-9ff5-1ef3c5814922,control,2020-07-04,18,Generic Smartphone,6,Chrome Mobile,0,0
331,0a1d4727-dcf2-4373-83c3-3db098c82b3d,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile,0,0
332,0a21e38a-bf4c-4ad1-af9c-950bbc1fb295,control,2020-07-04,0,Generic Smartphone,6,Chrome Mobile,0,0
333,0a2c51f7-9c03-4579-b8ea-7daecc0c172d,exposed,2020-07-05,9,Generic Smartphone,6,Chrome Mobile,0,0
337,0a5ae923-7a3b-40f2-ae67-e26e40ae4737,exposed,2020-07-09,12,Generic Smartphone,6,Chrome Mobile,0,0
341,0a670948-dc74-451a-9788-48b8f04154c1,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
343,0a72b144-0af8-41c4-9658-ad94d820776f,control,2020-07-08,11,Generic Smartphone,6,Chrome Mobile,0,0
345,0a76e565-e0fc-49c4-8cb3-5800dcbc4602,exposed,2020-07-07,16,Generic Smartphone,6,Chrome Mobile,0,0
346,0a7b91ca-0c98-4f7d-8a77-78fa6b155055,control,2020-07-09,16,Generic Smartphone,6,Chrome Mobile,0,0
347,0a8d43ce-bc08-4377-95b9-546f47239a92,control,2020-07-06,4,Generic Smartphone,6,Chrome Mobile,0,0
348,0a93a129-ff01-4d29-b375-20f001aa4643,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
350,0aa0fe3c-4cda-4a06-91ac-7495b26cd860,exposed,2020-07-10,6,Generic Smartphone,6,Chrome Mobile,0,0
351,0aa86630-5f30-411b-adef-f60e19446c5e,control,2020-07-06,8,Generic Smartphone,6,Chrome Mobile,0,0
352,0aaf0e53-0aef-48e1-86b8-77a751b6ad2b,control,2020-07-08,14,Generic Smartphone,6,Chrome Mobile,1,0
353,0ac6f8e7-4542-4bb3-ab2d-11f6490e879b,exposed,2020-07-09,6,Generic Smartphone,6,Chrome Mobile,0,0
354,0ac7eaf5-45d8-42df-a4a2-73b953ae2448,exposed,2020-07-05,9,Generic Smartphone,6,Chrome Mobile,0,0
360,0af70a85-c9a3-47c3-af52-dc8600cd300f,control,2020-07-09,21,Generic Smartphone,6,Chrome Mobile,0,0
362,0b0344c4-b114-4705-ad68-6662f0d3bedc,control,2020-07-03,15,LG-$2,6,Chrome Mobile,1,0
365,0b32645f-d2a2-4769-aae4-96b187cad884,control,2020-07-08,7,Generic Smartphone,6,Chrome Mobile,0,0
371,0b6ca59a-a54d-44e6-9eba-503b3dd5d90d,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
372,0b6f73a0-6290-4771-b75d-2d886aa29df3,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
375,0b8a66bc-1c09-4aca-896a-0c75fae985d5,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
376,0b8c4a4f-8694-4e96-9f95-b0adba435a9a,exposed,2020-07-04,12,Generic Smartphone,6,Chrome Mobile,0,0
378,0b932b79-ea44-42e4-be2a-0df896ab3717,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,0,0
379,0b9c6762-de2e-46ea-807d-cb49c6adca34,exposed,2020-07-08,14,Generic Smartphone,6,Chrome Mobile,0,0
382,0ba4cfa4-380b-46a0-9973-1d048ae7108c,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
383,0bb00df0-13b6-4146-8acd-67cb56125c42,control,2020-07-10,8,Generic Smartphone,6,Chrome Mobile,0,0
384,0bb3c38a-133e-47d4-9cf2-ab6aef9638ac,control,2020-07-10,10,Generic Smartphone,6,Chrome Mobile,0,0
385,0bbe5044-3bf8-485f-8f5e-0582de812652,exposed,2020-07-04,12,Generic Smartphone,6,Chrome Mobile,0,0
387,0bc3d555-c888-4485-a08a-ec5551261460,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
388,0bcdefe7-24f5-47d2-849b-59758cae1b22,control,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,0,0
390,0bfb336a-ac80-4126-b75b-ec29559749f5,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile,0,0
396,0c37ddab-eb0e-443f-bf64-f8eee55232e8,control,2020-07-09,5,Generic Smartphone,6,Chrome Mobile,0,0
397,0c388cd8-c264-47cc-a562-7b3119fd7fbd,exposed,2020-07-05,13,Generic Smartphone,6,Chrome Mobile,0,0
398,0c459a65-cafe-43e6-a615-5ccae02fed79,control,2020-07-10,13,Generic Smartphone,6,Chrome Mobile,0,0
399,0c47ee4d-e8a8-4e4b-834b-bcef4238fa94,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
400,0c51572a-817c-4595-ab95-a398d56674e4,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
401,0c65bdaf-4328-417e-b4d9-c857a54ff446,exposed,2020-07-05,3,Generic Smartphone,6,Chrome Mobile,1,0
403,0c6cfbc3-3d40-47fc-bc46-3d98543f6072,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
405,0c776601-3965-43be-96ae-7e494f130e16,control,2020-07-05,9,Generic Smartphone,6,Chrome Mobile,0,0
