,auction_id,experiment,date,hour,device_make,platform_os,browser,yes,no
178,05399052-58e1-4678-b38f-a4648e0c477d,control,2020-07-03,15,HTC Desire $2,6,Chrome Mobile WebView,0,0
183,05580d4a-c0d1-405b-a6be-dab1e3152f06,control,2020-07-08,20,Samsung SM-A705FN,6,Chrome Mobile WebView,0,0
191,058512b2-f3ad-4a21-a879-93fe194995fb,control,2020-07-03,15,Samsung SM-G920F,6,Chrome Mobile WebView,0,0
194,0592b18c-a235-462b-82b1-4ce9ecfd1786,exposed,2020-07-04,8,Samsung SM-A105FN,6,Chrome Mobile WebView,0,0
202,060536b0-3fe0-4af3-a808-0a4008e91876,exposed,2020-07-05,14,Generic Smartphone,6,Chrome Mobile WebView,0,0
213,067f44e7-7b76-4527-8b0f-215f7018c158,exposed,2020-07-04,5,Nexus 5,6,Chrome Mobile WebView,0,0
227,06da5999-fc59-4da5-9e26-326c23469343,exposed,2020-07-09,6,Pixel 3a,6,Chrome Mobile WebView,0,0
233,07122bf4-373a-4692-8630-8996c14e405a,exposed,2020-07-09,15,Generic Smartphone,6,Chrome Mobile WebView,0,0
241,07567ef2-71de-41c4-b234-79565a48917e,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile WebView,1,0
243,07577e75-646a-4ffd-9654-790ec4b9b5a7,exposed,2020-07-09,22,VOG-L09,6,Chrome Mobile WebView,0,0
248,078947a9-2040-4f77-ba3e-b6b7df1f1434,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile WebView,0,0
252,0799b9c4-f541-4a48-a9e3-c100e386ab96,exposed,2020-07-09,11,Generic Smartphone,6,Chrome Mobile WebView,0,0
254,079dfa16-8f00-4a8a-8de1-2b5d5860ddf5,control,2020-07-07,5,Samsung SM-G986B,6,Chrome Mobile WebView,0,0
256,079fea8e-4ceb-4bc6-8569-e2c888fa76b8,exposed,2020-07-04,15,XiaoMi Redmi Note 4,6,Chrome Mobile WebView,0,0
265,0805d02f-ac61-4cc9-9ce7-08fbaaa57ab4,exposed,2020-07-03,7,ELE-L29,6,Chrome Mobile WebView,0,0
274,081ac534-a910-4eb2-96c8-235ad08da7e2,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile WebView,0,0
275,081bc517-d782-4aa7-9edf-2b85ecf73169,exposed,2020-07-05,7,Samsung SM-A705FN,6,Chrome Mobile WebView,0,0
279,084dc25f-6ac9-45d2-9720-5e107ba40aca,control,2020-07-08,18,OnePlus ONEPLUS A5000,6,Chrome Mobile WebView,0,0
283,0870f776-221b-46f7-9cce-549e5d154d5c,exposed,2020-07-09,4,Samsung SM-A505FN,6,Chrome Mobile WebView,0,0
285,087e26d0-5626-4f6e-a4d5-7614397b6169,control,2020-07-09,7,Generic Smartphone,6,Chrome Mobile WebView,0,0
338,0a5be7ea-fd1e-43b8-9d74-fe2b5fafafaa,exposed,2020-07-03,8,OnePlus ONEPLUS A5010,6,Chrome Mobile WebView,0,0
349,0a9462c5-68d6-4ea1-8d08-bd40a0457d65,control,2020-07-03,15,Samsung SM-A405FN,6,Chrome Mobile WebView,0,0
357,0ae26cd6-a8c9-4fe3-b561-4a405d4bf0e4,control,2020-07-03,15,Samsung SM-A202F,6,Chrome Mobile WebView,1,0
358,0af12f96-1167-4717-85c2-e4bab19a6741,exposed,2020-07-08,21,Samsung SM-A405FN,6,Chrome Mobile WebView,1,0
363,0b145ef0-212e-41d0-b035-1fab27dfb2db,exposed,2020-07-09,23,LYA-L09,6,Chrome Mobile WebView,0,0
364,0b198bda-fd00-48be-9c1a-e6d9aceaa527,exposed,2020-07-09,23,Generic Smartphone,6,Chrome Mobile WebView,0,0
368,0b5253d7-d3df-4b28-a52f-db9d46fa59ae,control,2020-07-03,15,CLT-L09,6,Chrome Mobile WebView,0,0
369,0b623287-2a8a-40ba-ad8e-523f3de405d7,exposed,2020-07-06,4,Samsung SM-G988B,6,Chrome Mobile WebView,0,0
373,0b71f8da-3108-430f-9bde-ffadf1e1f648,exposed,2020-07-08,0,Nexus 5,6,Chrome Mobile WebView,0,0
374,0b88daa3-0314-4bea-aaf1-e610dc08b6c7,control,2020-07-07,22,Samsung SM-N976B,6,Chrome Mobile WebView,0,0
377,0b907466-b7a9-4d84-ae99-783fabc601fd,control,2020-07-10,8,Samsung SM-G970F,6,Chrome Mobile WebView,0,0
380,0b9e3d7c-503d-48b5-b826-9da0faf85e90,exposed,2020-07-04,2,Samsung SM-G973F,6,Chrome Mobile WebView,0,0
381,0ba374b7-9683-41e2-909d-67832e8c300a,exposed,2020-07-09,11,Samsung SM-J330FN,6,Chrome Mobile WebView,0,0
386,0bbf1aa6-61c6-44e5-aada-664a0e2007a4,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile WebView,0,0
391,0c038d26-7df1-459e-983f-444d2dd6240d,exposed,2020-07-09,7,Samsung SM-G965F,6,Chrome Mobile WebView,0,0
392,0c147455-5c23-4238-9c54-1b6e7ea64343,exposed,2020-07-09,6,CLT-L29,6,Chrome Mobile WebView,0,0
393,0c1aff5b-de99-46a0-b307-acfa1792c86f,exposed,2020-07-04,0,Samsung SM-A320FL,6,Chrome Mobile WebView,1,0
402,0c65e073-ee65-4e83-b982-4bbdd471a36e,exposed,2020-07-03,5,PRA-LX1,6,Chrome Mobile WebView,0,0
414,0cb92753-1471-4cb9-9ca7-bb028d0d2aab,exposed,2020-07-08,10,MRD-LX1,6,Chrome Mobile WebView,0,0
418,0cc5c45f-a874-4a57-bf3d-0ff5b77113ef,control,2020-07-03,15,Samsung SM-G950F,6,Chrome Mobile WebView,1,0
421,0cd74b03-0e7f-4860-b629-b34f15e789e1,exposed,2020-07-05,9,Samsung SM-J320FN,6,Chrome Mobile WebView,0,0
437,0d2fc241-028a-4f32-ba2f-639f8f4a96e6,exposed,2020-07-09,7,Samsung SM-A202F,6,Chrome Mobile WebView,0,0
446,0d5e9fba-90a9-44e5-aeed-8edc7ff9e19d,exposed,2020-07-08,3,OnePlus ONEPLUS A3003,6,Chrome Mobile WebView,0,0
448,0d654806-a01e-41cc-affc-33c7ee66f47d,exposed,2020-07-04,2,Samsung SM-G973F,6,Chrome Mobile WebView,0,0
449,0d67065c-3e2c-4a7e-8009-6539b3b5654c,exposed,2020-07-05,3,Samsung SM-A530F,6,Chrome Mobile WebView,0,0
457,0db3316c-2dc7-45d9-ab07-3c993e4e010a,exposed,2020-07-08,18,Generic Smartphone,6,Chrome Mobile WebView,0,0
465,0de9c430-f4ab-4bf1-8a2c-76c4420b494f,exposed,2020-07-03,9,Samsung SM-J330FN,6,Chrome Mobile WebView,0,0
469,0e018340-de69-471c-9248-c21187315601,exposed,2020-07-07,20,Samsung SM-G950F,6,Chrome Mobile WebView,0,0
476,0e2d3095-4f04-42b7-82fa-ec2d5c77b0d0,exposed,2020-07-07,4,Samsung SM-G970F,6,Chrome Mobile WebView,0,0
489,0e9f6d0f-b8c0-4db8-8944-d4331dfe4834,exposed,2020-07-03,5,BKL-L09,6,Chrome Mobile WebView,0,0
494,0ec40826-bb92-4a9d-8904-ea193087a934,control,2020-07-03,15,Samsung SM-A405FN,6,Chrome Mobile WebView,0,0
495,0ec4d913-a1ba-4c94-a0fe-3a47fcd46db4,exposed,2020-07-08,20,Pixel 3,6,Chrome Mobile WebView,0,0
502,0f12fb08-a814-4e1f-a78d-1af2e200af77,exposed,2020-07-03,6,Samsung SM-G975F,6,Chrome Mobile WebView,0,0
503,0f1880fe-066d-4b3f-86c6-78b06864d6da,control,2020-07-03,15,Nokia$2$3,6,Chrome Mobile WebView,0,0
506,0f31dedc-cc0b-41ce-a192-2193a2416b7a,exposed,2020-07-08,15,CLT-L09,6,Chrome Mobile WebView,0,0
519,0faa0deb-fb5d-4841-ab1e-00d57a2036ab,exposed,2020-07-10,14,Generic Smartphone,6,Chrome Mobile WebView,0,0
525,0ffabd23-6279-4639-b283-0d1e15a72f30,exposed,2020-07-06,7,Samsung SM-G930F,6,Chrome Mobile WebView,0,0
526,0fff9f54-4904-4b91-9cb7-ad1975cc3f90,exposed,2020-07-04,12,Pixel 3,6,Chrome Mobile WebView,0,0
532,101bd34f-7080-46f2-a302-691b681687f2,exposed,2020-07-09,11,Generic Smartphone,6,Chrome Mobile WebView,0,0
533,1021fd94-e132-4d93-b10a-5b40a77038e6,exposed,2020-07-05,6,F8331,6,Chrome Mobile WebView,0,0
538,1081be2b-f933-4a02-a758-325888d39f02,exposed,2020-07-08,16,FIG-LX1,6,Chrome Mobile WebView,0,0
548,10e61fce-8187-4af9-8027-a028fb37335b,exposed,2020-07-09,13,Samsung SM-G965F,6,Chrome Mobile WebView,0,0
549,10eb2de4-a804-4c5d-a398-2d3dbc3b658b,exposed,2020-07-09,14,Generic Smartphone,6,Chrome Mobile WebView,1,0
555,11317cea-916b-44fe-95d3-eab42ad31709,control,2020-07-04,11,Generic Smartphone,6,Chrome Mobile WebView,0,0
562,11798789-0ac2-4293-aee2-efa29131a4e9,exposed,2020-07-07,22,Samsung SM-A300FU,6,Chrome Mobile WebView,0,0
566,11a15c9e-03a3-41f6-b979-8a9e47805512,exposed,2020-07-09,8,Samsung SM-A202F,6,Chrome Mobile WebView,0,0
569,11a390b3-e8e8-456d-a93a-45d408225866,exposed,2020-07-03,11,Samsung SM-G981B,6,Chrome Mobile WebView,0,0
572,11bdc31d-e91c-4804-b55c-25cb7b946c6e,exposed,2020-07-07,20,Samsung SM-G935F,6,Chrome Mobile WebView,0,0
574,11bf10a4-4924-4aac-b3d6-5d478f4eae26,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile WebView,0,0
581,11e67cd0-896f-4852-8663-b47a431ef423,exposed,2020-07-10,15,Pixel 3,6,Chrome Mobile WebView,0,0
583,11fb0529-62ae-4d77-93bc-7e938951c803,exposed,2020-07-08,22,Samsung SM-G960F,6,Chrome Mobile WebView,0,0
587,1214eff0-876d-4e90-afbc-312ce80b3c04,exposed,2020-07-03,8,Samsung SM-A300FU,6,Chrome Mobile WebView,1,0
588,1218af9e-281a-43ff-a098-343c62dbd4c2,exposed,2020-07-05,6,Samsung SM-A405FN,6,Chrome Mobile WebView,0,0
590,12204238-df88-4d06-9fa8-ce25232a492d,exposed,2020-07-09,11,Samsung SM-N950F,6,Chrome Mobile WebView,0,0
593,12296609-e5d8-404d-82c4-61aabb0cd575,exposed,2020-07-08,19,LYA-L09,6,Chrome Mobile WebView,0,0
604,1292f836-2af1-4be6-aae0-de1454da0086,exposed,2020-07-09,11,VFD 710,6,Chrome Mobile WebView,0,0
612,12e3e794-8379-4abb-943a-e7e6aea0663c,exposed,2020-07-04,15,Pixel 3a,6,Chrome Mobile WebView,0,0
613,12ef4330-65b3-4088-be7e-40c4f69e524f,exposed,2020-07-03,6,Samsung SM-G950F,6,Chrome Mobile WebView,0,0
616,131280bd-abd5-4e54-8934-02d1a4fad674,control,2020-07-08,20,Samsung SM-G955F,6,Chrome Mobile WebView,0,0
622,1327f721-1426-4e87-84d6-1808574eaaf8,exposed,2020-07-09,9,Generic Smartphone,6,Chrome Mobile WebView,0,0
646,14042aed-7a7e-4264-8966-0183a5f5338d,exposed,2020-07-09,11,Generic Smartphone,6,Chrome Mobile WebView,0,0
649,1428e0f2-b9b4-4a73-90cb-063b7bc0ef92,exposed,2020-07-03,4,Samsung SM-G930F,6,Chrome Mobile WebView,0,0
652,14321100-2c98-40aa-8659-3c495c7c148c,exposed,2020-07-03,9,Generic Smartphone,6,Chrome Mobile WebView,1,0
654,14485cd5-6904-4d94-890c-7bb0feb6ff30,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile WebView,1,0
661,149c944a-6de4-47fb-8fac-720e7e9dc385,control,2020-07-05,12,Samsung SM-A202F,6,Chrome Mobile WebView,0,0
666,14ba47d8-4553-4c3e-a8e8-73f6e07619b8,exposed,2020-07-06,9,Samsung SM-G935F,6,Chrome Mobile WebView,0,0
667,14c82caf-f98c-4d23-b993-2f4aead9aee2,control,2020-07-09,13,Samsung SM-G901F,6,Chrome Mobile WebView,0,0
676,1512bfaa-bacc-4f26-8357-51a1d38bc223,exposed,2020-07-03,9,Samsung SM-A705FN,6,Chrome Mobile WebView,0,0
684,156f4218-64aa-4d41-950d-7ce65ad209e6,exposed,2020-07-05,9,Pixel 3,6,Chrome Mobile WebView,0,0
687,1588059a-ee52-43a0-bae6-fcecba1b64dc,exposed,2020-07-05,7,ANE-LX1,6,Chrome Mobile WebView,0,0
709,1696e98e-ebfd-46e2-b719-0e8d2839855a,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile WebView,0,0
717,16d08f38-fb66-494c-9df2-79c4a89e5cff,control,2020-07-03,15,Samsung SM-A750FN,6,Chrome Mobile WebView,1,0
722,170bc055-059f-46af-bef6-8e255fc99448,control,2020-07-06,1,Samsung SM-A500FU,6,Chrome Mobile WebView,0,0
737,17536575-2de6-4e49-8ddd-7af757d7245f,exposed,2020-07-08,17,Samsung SM-G900V,6,Chrome Mobile WebView,0,0
741,1773423e-fe97-4a61-bd08-668d23a107cb,exposed,2020-07-09,12,VOG-L29,6,Chrome Mobile WebView,0,0
746,17cc3301-bb19-464b-b225-c9b3e995aa54,exposed,2020-07-04,0,Samsung SM-G950F,6,Chrome Mobile WebView,0,0
765,187f9fa4-e8dc-40ff-8a40-d77a96daba77,exposed,2020-07-05,9,Samsung SM-J330FN,6,Chrome Mobile WebView,0,0
774,18e9ab5d-f6a6-44e8-9015-9b85d0845bbd,exposed,2020-07-07,8,Samsung SM-G975F,6,Chrome Mobile WebView,0,0
781,1907c167-0709-4d35-991d-3f396bc79496,exposed,2020-07-04,16,Samsung SM-J610FN,6,Chrome Mobile WebView,1,0
789,19676904-13f7-445a-a609-ef40e6f30c0d,control,2020-07-07,6,Samsung SM-J600FN,6,Chrome Mobile WebView,0,0
798,19ba2632-0167-4f74-b111-3093781d2aa3,exposed,2020-07-10,15,Samsung SM-G900F,6,Chrome Mobile WebView,1,0
805,19e37684-a325-4b94-a72e-9507941da0c3,exposed,2020-07-05,12,Samsung SM-A705FN,6,Chrome Mobile WebView,0,0
810,1a020893-af60-4f13-af48-0221cc488444,exposed,2020-07-04,22,Samsung SM-G800F,6,Chrome Mobile WebView,0,0
812,1a252280-7575-42b6-a5a8-554198da0070,exposed,2020-07-09,15,Samsung SM-G973F,6,Chrome Mobile WebView,0,0
819,1a7bb179-251e-43b0-af01-e621d900fbf8,exposed,2020-07-04,15,POT-LX1,6,Chrome Mobile WebView,0,0
831,1b054914-2e0d-4ecd-9fc9-cae1726f726b,control,2020-07-10,16,Generic Smartphone,6,Chrome Mobile WebView,0,0
835,1b264055-99f3-4a10-806a-f3a8e0a50a16,control,2020-07-05,11,Samsung SM-A705FN,6,Chrome Mobile WebView,0,0
837,1b34c039-0087-4795-ab40-a43d71661a5a,exposed,2020-07-06,0,POT-LX1,6,Chrome Mobile WebView,1,0
843,1b561e06-05c9-4925-b8cf-cfc8b03cb5e2,control,2020-07-03,15,MRD-LX1,6,Chrome Mobile WebView,0,0
854,1bcb31d3-e3e1-4a21-b655-4ce0bec229ef,exposed,2020-07-08,18,Samsung SM-N950F,6,Chrome Mobile WebView,0,0
860,1c0b95e8-10e5-4451-9afc-01461c29f85a,exposed,2020-07-06,6,Samsung SM-G973F,6,Chrome Mobile WebView,0,0
863,1c258fa8-4850-4993-a678-16ad69a0cfa6,exposed,2020-07-09,8,Samsung SM-A515F,6,Chrome Mobile WebView,0,0
865,1c29623c-fd9f-4eb5-a3de-d5a8541ca105,control,2020-07-09,6,Samsung SM-G970F,6,Chrome Mobile WebView,0,0
872,1c5f60e8-f96a-4d37-b089-e213fec03a1b,exposed,2020-07-07,17,Samsung SM-A705FN,6,Chrome Mobile WebView,0,0
885,1cd4e03e-f451-4b5d-9051-43821d222461,exposed,2020-07-06,4,Moto $2,6,Chrome Mobile WebView,0,0
886,1cdc848a-41a3-4ddb-be5e-6cec8bc75ef3,exposed,2020-07-09,11,ANE-LX1,6,Chrome Mobile WebView,0,0
898,1d51f9bf-01a5-4e2a-82e9-de61069fa2ae,exposed,2020-07-08,17,Samsung SM-G970F,6,Chrome Mobile WebView,0,0
900,1d552e4a-7ada-420d-861d-13bac4319162,exposed,2020-07-09,11,Samsung SM-G965F,6,Chrome Mobile WebView,0,0
904,1d777759-bf9c-43e8-a122-2e3913d3e1fe,control,2020-07-05,15,Samsung SM-G960F,6,Chrome Mobile WebView,0,0
906,1d7a7638-4eec-4c06-bbc0-56a775c8a833,exposed,2020-07-10,7,Samsung SM-G975F,6,Chrome Mobile WebView,0,0
912,1d8dafb5-77a6-4b42-a6e6-7c708e996d9c,control,2020-07-05,5,Samsung SM-J330FN,6,Chrome Mobile WebView,0,0
923,1df315d7-bc2b-4555-a092-331f9a59a528,exposed,2020-07-09,11,OnePlus ONEPLUS A6013,6,Chrome Mobile WebView,0,0
928,1e392aac-78f3-4b93-a843-543162820ca2,exposed,2020-07-10,12,Pixel 3a,6,Chrome Mobile WebView,0,0
935,1e659052-0c71-413b-a1df-eaf1f8bda02b,control,2020-07-10,8,Nokia$2$3,6,Chrome Mobile WebView,0,0
938,1e763027-eab5-46eb-92cb-7ec3ed29648d,exposed,2020-07-09,11,Nokia$2$3,6,Chrome Mobile WebView,0,0
940,1ea2cd2a-76a0-47ee-8cd7-3f540fa264e5,exposed,2020-07-03,10,Samsung SM-G950F,6,Chrome Mobile WebView,0,0
943,1ebaed6a-6747-4557-89a1-3b0b97272332,exposed,2020-07-05,5,I3312,6,Chrome Mobile WebView,0,0
946,1ecb31ca-a852-4ce1-9357-7e3cb0bd8377,exposed,2020-07-06,7,Samsung SM-N950F,6,Chrome Mobile WebView,0,0
958,1f42517e-ace0-40c8-8d92-b8b20d22d06a,control,2020-07-07,8,Samsung SM-A520F,6,Chrome Mobile WebView,0,0
966,1f79ac39-1fe6-446f-b0af-28780c0b1c5b,exposed,2020-07-09,10,OnePlus ONEPLUS A6003,6,Chrome Mobile WebView,0,0
970,1f8d1564-323c-4f75-b7ad-a7a849a20a6b,exposed,2020-07-09,13,Pixel 3a,6,Chrome Mobile WebView,0,0
977,1fb242a4-9eeb-47cb-8148-c1e51b899a57,exposed,2020-07-05,6,Samsung SM-G970F,6,Chrome Mobile WebView,0,0
979,1fc19b85-1699-4df7-b0a4-66a484d4aa3f,exposed,2020-07-07,11,Samsung SM-G960F,6,Chrome Mobile WebView,0,0
982,1fd6f563-062a-4d99-808d-ec433ec64ec5,control,2020-07-03,15,Samsung SM-A530F,6,Chrome Mobile WebView,0,0
1006,20a93060-fc5d-4d18-b199-c8eef2b339c5,control,2020-07-07,6,Generic Smartphone,6,Chrome Mobile WebView,0,0
1008,20b9978a-4aa7-4e1b-bee7-f9d4b0b3b45e,exposed,2020-07-10,9,Generic Smartphone,6,Chrome Mobile WebView,0,0
1019,211f8909-ed4a-4cb7-bc65-72a5bdb70ec4,exposed,2020-07-09,2,Samsung SM-G950F,6,Chrome Mobile WebView,1,0
1022,21307e1d-f98c-4444-9f99-efb73773c423,exposed,2020-07-04,4,Samsung SM-G960F,6,Chrome Mobile WebView,0,0
1025,2155c689-a37d-4a09-a74f-3e7e597cc2fe,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile WebView,0,0
1028,2183bbef-014b-41d2-84af-c52e9c70a996,exposed,2020-07-05,4,Samsung SM-G955F,6,Chrome Mobile WebView,0,0
1047,220c8e65-99ef-4cd2-8704-aea1aac355a4,exposed,2020-07-07,20,Samsung SM-A405FN,6,Chrome Mobile WebView,1,0
1052,2239ca54-1a21-4dcc-8aa1-904dbf05467b,exposed,2020-07-08,7,POT-LX1,6,Chrome Mobile WebView,0,0
1064,228e5645-cd44-4fb3-9715-36942faefa5e,exposed,2020-07-04,14,Samsung SM-G960F,6,Chrome Mobile WebView,1,0
1067,22b7ad72-4dfc-45c8-ae18-8f208cc9e29c,exposed,2020-07-04,8,Nokia$2$3,6,Chrome Mobile WebView,1,0
1071,22d570fd-7f7a-44d3-b7d6-3f0dd636bf1e,control,2020-07-05,7,Samsung SM-G950F,6,Chrome Mobile WebView,0,0
1076,22f63416-8504-429b-ac23-2906257fd465,control,2020-07-10,5,NEM-L51,6,Chrome Mobile WebView,0,0
1077,22fb6ec7-1950-4df8-b28e-b83f8fe8cd78,exposed,2020-07-06,2,Samsung SM-N960F,6,Chrome Mobile WebView,0,0
1095,239b3bad-88b3-458c-801b-5169896142a9,exposed,2020-07-09,21,Samsung SM-A105FN,6,Chrome Mobile WebView,0,0
1096,23a0b4d7-c073-4d27-b7e2-e1c6a00d9969,exposed,2020-07-08,15,Samsung SM-A405FN,6,Chrome Mobile WebView,0,0
1110,24416b7d-8c77-4113-b1f3-10bb9daadb29,exposed,2020-07-10,13,Samsung SM-A705FN,6,Chrome Mobile WebView,0,0
1112,2456bb1a-2833-4e7d-a107-f2f327773c62,exposed,2020-07-06,2,Samsung SM-A300FU,6,Chrome Mobile WebView,0,0
1114,245e6c83-89f8-4b3e-9668-26a5be694b77,exposed,2020-07-08,18,Samsung SM-G900F,6,Chrome Mobile WebView,0,0
1119,2486784b-2d9b-41d6-9af1-20cddbb6d1a1,exposed,2020-07-06,1,Samsung SM-A505FN,6,Chrome Mobile WebView,1,0
1125,24af29ce-0fb0-47a7-9b63-04d37fa88305,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile WebView,0,0
1138,255a8dc5-eaac-4b47-b90b-ef1f6c7a2a43,exposed,2020-07-03,6,Nokia$2$3,6,Chrome Mobile WebView,1,0
1147,258ca440-3ddb-45cf-9f4c-5c53b111096f,exposed,2020-07-10,9,VFD 820,6,Chrome Mobile WebView,0,0
1148,258eabe4-89ef-4ded-9323-916316cd4d19,exposed,2020-07-09,4,Samsung SM-G973F,6,Chrome Mobile WebView,0,0
1154,25d2f997-b9e2-40a2-ad22-5f29ab79866c,exposed,2020-07-10,1,Asus I01WD,6,Chrome Mobile WebView,0,0
1159,25f533dc-4772-40ce-aec1-fb9e19c75c23,exposed,2020-07-08,19,Samsung SM-A300FU,6,Chrome Mobile WebView,0,0
1165,262793a7-ce47-48b4-b108-de4a52273913,control,2020-07-08,17,Samsung SM-A202F,6,Chrome Mobile WebView,0,0
1169,263c2b73-e65d-4fac-9894-8ba340822e82,exposed,2020-07-08,3,OnePlus ONEPLUS A5010,6,Chrome Mobile WebView,0,0
1183,26894720-ea14-4ec8-b466-5c23835297e6,exposed,2020-07-09,7,HUAWEI $2,6,Chrome Mobile WebView,0,0
1188,26ab43a5-fbc7-4364-8253-850c05b8f514,exposed,2020-07-04,5,Samsung SM-A520F,6,Chrome Mobile WebView,0,0
1192,26bd0617-a4fd-4dc5-8416-dbe5cf32bd9f,exposed,2020-07-07,2,Samsung SM-A500FU,6,Chrome Mobile WebView,0,0
1195,26dc9ff9-b348-43b0-832b-3d7f548b954c,exposed,2020-07-09,13,Samsung SM-G973F,6,Chrome Mobile WebView,0,0
1199,26ffa7a9-7b75-4f33-927e-398a28de35e6,exposed,2020-07-05,20,Samsung SM-G950F,6,Chrome Mobile WebView,0,0
1202,2723ab6c-1b19-4780-9188-cf5a58e377f7,exposed,2020-07-08,10,Samsung SM-A105FN,6,Chrome Mobile WebView,0,0
1204,272ed138-f1c6-4762-94b9-9c49f8b4da97,exposed,2020-07-08,22,Generic Smartphone,6,Chrome Mobile WebView,0,0
1205,2738e6d7-8ca1-4106-9b46-8a194b254c0a,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile WebView,0,0
